model,scene,views,da3,bae_d_raw,bae_e_raw,bae_de_raw,form_d_raw,form_e_raw,form_de_raw
NESTED-GIANT-LARGE,09c1414f1b,144,0.12181261677346873,0.2458095690385111,0.1313307704065881,0.2496896886415437,0.11250310687070537,0.08346683334012775,0.09678087001973998
NESTED-GIANT-LARGE,0d2ee665be,139,0.4482277888028606,0.4637319255151133,0.46074562504913386,0.467059138591603,0.4171150383787987,0.39512297440777805,0.39064533450635575
NESTED-GIANT-LARGE,3f15a9266d,144,0.04855949570925531,0.21803005528125255,0.050194111990182866,0.22628244110846357,0.2719530740138881,0.046762361465108114,0.29446233092909013
NESTED-GIANT-LARGE,6115eddb86,144,0.03492694349690516,0.022684339990779297,0.03977320693920295,0.02353988830057837,,,
NESTED-GIANT-LARGE,7831862f02,144,0.5713694253965429,0.4988047841831335,0.5939546200933001,0.5069180400720384,,,
NESTED-GIANT-LARGE,cc5237fd77,144,0.04424426376963875,0.059256706365914236,0.04554573733091218,0.06073119215144455,,,
GIANT-1.1,3f15a9266d,156,0.021470398185031957,0.11882802906284491,0.023887742102790366,0.14024990959510705,0.2728109536168509,0.03182105349332807,0.31553918588063534
GIANT-1.1,7831862f02,156,0.6120583596896224,0.5083700547705602,0.6435818256604302,0.5194230464457252,0.5658327503571545,0.6243651114828271,0.5790401055150172
